1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
43.34 ,42.26 ,44.04 ,42.26 ,42.59 ,43.38 ,43.67 ,42.54 ,43.65 ,42.74 ,44.18 ,43.32 ,42.32 ,44.15 ,43.36 ,42.97 ,41.84 ,44.08 ,42.08 ,42.62 ,43.02 ,43.60 ,42.98 ,45.17 ,41.22 ,43.43 ,42.64,42.94,44.89,43.12,43.73,43.42,43.44,,,43.65,41.82,43.76,45.79,42.57,42.90,43.10,42.50,44.43,41.91,42.31,44.40,44.54,43.25,42.43,42.45,43.44
43.25 ,42.11 ,43.94 ,42.18 ,42.46 ,43.24 ,43.61 ,42.60 ,43.62 ,41.78 ,44.13 ,43.26 ,42.18 ,43.92 ,43.29 ,42.96 ,41.75 ,44.00 ,42.03 ,42.50 ,42.82 ,43.55 ,43.01 ,45.12 ,41.27 ,43.61 ,42.53,42.84,44.91,43.02,43.71,43.26,43.30,,,43.50,41.79,43.79,45.72,42.52,42.75,43.03,42.48,44.43,41.91,42.26,44.30,44.49,43.14,42.33,42.46,43.53
43.14 ,42.01 ,43.82 ,42.16 ,42.43 ,42.97 ,43.58 ,42.64 ,43.58 ,42.74 ,44.07 ,43.18 ,42.06 ,43.75 ,43.18 ,43.00 ,41.67 ,43.95 ,41.97 ,42.48 ,42.70 ,43.40 ,42.92 ,45.03 ,41.22 ,43.72 ,42.41,42.80,44.89,42.92,43.64,43.12,43.20,,,43.33,41.74,43.80,45.67,42.46,42.63,42.93,42.47,44.43,41.89,42.17,44.20,44.44,43.02,42.25,42.48,43.58
43.04 ,41.96 ,43.66 ,42.21 ,42.33 ,42.80 ,43.54 ,42.65 ,43.51 ,42.72 ,44.02 ,43.11 ,41.96 ,43.71 ,43.09 ,43.03 ,41.58 ,43.90 ,41.92 ,42.40 ,42.55 ,43.24 ,42.81 ,44.95 ,41.18 ,43.94 ,42.31,42.74,44.81,42.72,43.88,42.98,43.02,,,43.21,41.67,43.76,45.57,42.37,42.50,42.81,42.46,44.45,41.95,42.08,44.10,44.50,42.90,42.17,42.48,43.64
42.94 ,41.81 ,43.46 ,42.22 ,42.21 ,42.60 ,43.49 ,42.65 ,43.43 ,42.74 ,43.94 ,43.02 ,41.86 ,43.48 ,43.02 ,43.12 ,41.52 ,43.85 ,41.83 ,42.33 ,42.42 ,43.08 ,42.71 ,44.86 ,41.14 ,44.17 ,42.21,42.71,44.69,42.50,43.51,42.84,42.86,,,43.12,41.59,43.70,45.44,42.28,42.40,42.70,42.44,44.45,42.07,42.00,44.00,44.46,42.79,42.13,42.46,43.7
42.83 ,41.75 ,43.40 ,42.28 ,42.06 ,42.45 ,43.45 ,42.59 ,43.31 ,42.74 ,43.85 ,42.94 ,41.78 ,43.35 ,42.98 ,43.22 ,41.44 ,43.78 ,41.76 ,42.27 ,42.30 ,42.95 ,42.65 ,44.76 ,41.10 ,44.24 ,42.09,42.69,44.54,42.48,43.44,42.72,42.72,,,43.04,41.52,43.59,45.30,42.19,42.33,42.56,42.42,44.45,42.15,41.90,43.90,44.41,42.66,42.11,42.43,43.73
42.75 ,41.70 ,43.27 ,42.32 ,41.92 ,42.28 ,43.38 ,42.50 ,43.17 ,42.72 ,43.79 ,42.86 ,41.70 ,43.21 ,42.94 ,43.28 ,41.39 ,43.72 ,41.71 ,42.24 ,42.19 ,42.77 ,42.62 ,44.66 ,41.05 ,44.27 ,41.89,42.67,44.39,42.36,43.35,42.60,42.58,,,43.02,41.43,43.46,45.13,42.13,42.29,42.45,42.40,44.43,42.21,41.81,43.86,44.46,42.54,42.10,42.39,43.75
42.68 ,41.66 ,43.16 ,42.32 ,41.82 ,42.15 ,43.30 ,42.41 ,43.01 ,42.72 ,43.70 ,42.75 ,41.64 ,43.11 ,42.86 ,43.32 ,41.34 ,43.67 ,41.64 ,42.23 ,42.09 ,42.62 ,42.57 ,44.52 ,41.01 ,44.22 ,41.81,42.63,44.20,42.24,43.26,42.51,42.48,,,43.04,41.35,43.33,44.97,42.06,42.28,42.34,42.35,44.42,42.24,41.72,43.58,44.52,42.42,42.10,42.34,43.73
42.64 ,41.64 ,43.10 ,42.32 ,41.74 ,42.03 ,43.19 ,42.31 ,42.87 ,42.68 ,43.61 ,42.62 ,41.58 ,43.01 ,42.76 ,43.34 ,41.30 ,43.59 ,41.61 ,42.23 ,42.06 ,42.45 ,42.51 ,44.40 ,40.91 ,44.16 ,41.82,42.58,43.83,42.12,43.19,42.42,42.42,,,43.08,41.23,43.25,44.81,42.01,42.28,42.23,42.30,44.40,42.23,41.65,43.48,44.60,42.30,42.14,42.27,43.7
42.53 ,41.65 ,43.04 ,42.25 ,41.64 ,41.92 ,43.08 ,42.06 ,42.72 ,42.62 ,43.55 ,42.56 ,41.52 ,42.92 ,42.65 ,43.30 ,41.25 ,43.50 ,41.56 ,42.25 ,41.97 ,42.32 ,42.41 ,44.24 ,40.81 ,44.06 ,41.76,42.54,43.82,42.01,43.12,42.36,42.37,,,43.12,41.19,43.26,44.68,41.96,42.24,42.13,42.20,44.40,42.22,41.58,43.34,44.50,42.18,42.25,42.20,43.63
