ayacucho,caicara,ciudad_bolivar,palua
43.34,24.98,6.89,3.83
43.25,24.88,6.78,3.93
43.14,24.78,6.73,3.75
43.04,24.68,6.68,3.49
42.94,24.58,6.62,3.64
42.83,24.53,6.57,3.63
42.75,24.48,6.52,3.60
42.68,24.38,6.48,3.46
42.64,24.28,6.34,3.43
42.53,24.18,6.28,3.38
42.46,24.08,6.22,3.34
42.40,23.98,6.16,3.21
42.33,23.93,6.04,3.09
42.25,23.88,5.88,3.05
42.18,23.83,5.78,3.06
42.13,23.78,5.62,2.81
42.04,23.73,5.44,2.62
41.96,23.68,5.30,2.45
41.88,23.58,5.18,2.43
41.80,23.48,5.08,2.33
41.73,23.38,4.98,2.25
41.65,23.28,4.90,2.17
41.57,23.18,4.80,2.17
41.51,23.08,4.71,2.14
41.41,23.03,4.60,2.13
41.31,22.98,4.48,2.07
41.26,22.88,4.38,1.99
41.18,22.78,4.32,1.85
41.14,22.68,4.19,1.89
41.10,22.58,4.14,1.85
41.06,22.53,4.04,1.81
41.04,22.48,4.00,1.75
41.00,22.43,3.92,1.75
41.00,22.38,3.92,1.79
41.02,22.33,3.88,2.45
41.04,22.28,3.84,1.96
41.06,22.28,3.81,1.91
41.08,22.23,3.77,1.89
41.10,22.18,3.73,1.83
41.08,22.18,3.67,1.85
41.05,22.18,3.59,1.77
41.01,22.18,3.61,2.25
40.96,22.18,3.59,1.82
40.90,22.18,3.55,1.64
40.87,22.18,3.50,1.60
40.87,22.18,3.41,1.49
40.90,22.14,3.31,1.40
40.91,22.10,3.21,1.38
40.91,22.06,3.17,1.46
40.91,22.02,3.15,1.38
40.90,21.98,3.11,1.39
40.89,21.96,3.11,1.40
40.87,21.93,3.11,1.35
40.86,21.93,3.05,1.33
40.86,21.93,3.07,1.33
40.84,21.93,3.05,1.30
40.80,22.03,3.05,1.29
40.75,21.98,3.03,1.19
40.72,21.93,3.05,1.15
,,,
40.70,21.91,3.03,1.16
40.70,21.90,3.01,1.21
40.71,21.88,3.03,1.13
40.72,21.83,3.01,1.15
40.74,21.78,2.99,1.20
40.77,21.78,2.97,1.21
40.83,21.78,2.99,1.23
40.86,21.83,2.97,1.25
40.88,21.83,2.99,1.23
40.88,21.73,3.01,1.23
40.87,21.78,3.01,1.23
40.84,21.83,3.03,1.19
40.81,21.88,3.01,1.13
40.74,21.93,2.99,1.01
40.66,21.98,2.99,1.03
40.61,21.98,2.97,0.97
40.55,21.98,2.97,0.87
40.49,21.93,2.93,0.87
40.43,21.88,2.93,0.87
40.38,21.78,2.89,0.91
40.34,21.68,2.85,0.93
40.29,21.63,2.81,0.97
40.29,21.58,2.79,1.07
40.29,21.53,2.75,1.11
40.29,21.48,2.71,1.11
40.29,21.43,2.67,1.13
40.34,21.38,2.63,1.15
40.41,21.38,2.61,1.10
40.49,21.38,2.57,1.08
40.55,21.38,2.55,1.07
40.59,21.38,2.53,1.07
40.62,21.38,2.47,1.16
40.65,21.43,2.45,1.20
40.66,21.48,2.39,1.25
40.75,21.48,2.34,1.38
40.82,21.53,2.29,1.57
40.84,21.53,2.25,1.58
40.86,21.58,2.25,1.39
40.90,21.58,2.25,2.12
40.96,21.63,2.27,1.88
41.03,21.63,2.27,2.17
41.09,21.68,2.31,2.05
41.16,21.73,2.39,1.63
41.23,21.78,2.51,1.61
41.32,21.83,2.63,1.72
41.46,21.88,2.77,1.95
41.58,21.98,2.93,2.45
41.71,21.98,3.13,2.41
41.86,22.08,3.33,2.28
41.92,22.18,3.39,2.25
42.01,22.28,3.45,2.25
42.01,22.38,3.51,2.26
42.00,22.58,3.57,2.26
41.97,22.68,3.63,2.13
41.94,22.78,3.69,2.11
41.91,22.88,3.75,1.98
41.91,22.98,3.81,1.90
41.91,22.98,3.87,1.88
41.91,22.98,3.93,1.79
41.94,22.98,3.99,1.78
41.94,22.98,4.11,1.80
41.95,22.98,4.17,1.77
41.97,23.03,4.23,1.83
42.03,23.08,4.27,1.85
42.12,23.13,4.31,1.93
42.24,23.18,4.35,1.97
42.38,23.23,4.39,2.13
42.50,23.28,4.39,2.03
42.66,23.38,4.51,2.02
42.76,23.48,4.57,1.99
42.87,23.78,4.67,2.03
42.98,23.98,4.79,2.08
43.08,24.18,4.92,2.09
43.16,24.38,5.07,2.12
43.25,24.48,5.33,2.32
43.29,24.68,5.53,2.39
43.39,24.88,5.71,2.48
43.49,24.98,5.95,2.61
43.56,25.03,6.15,2.74
43.66,25.08,6.23,2.83
43.76,25.18,6.31,2.89
43.85,25.18,6.37,3.05
43.89,25.23,6.37,2.99
43.94,25.28,6.39,2.98
43.95,25.38,6.45,3.01
43.95,25.48,6.51,3.01
43.95,25.58,6.55,3.00
43.95,25.53,6.59,2.98
43.95,25.53,6.57,3.06
43.98,25.48,6.57,3.03
44.09,25.48,6.57,3.03
44.16,25.53,6.55,3.00
44.23,25.58,6.55,3.02
44.31,25.63,6.55,2.94
44.43,25.63,6.59,2.97
44.56,25.68,6.65,3.06
44.68,25.73,6.73,3.05
44.81,25.83,6.81,3.05
44.94,25.93,6.83,3.21
45.05,26.03,6.87,3.25
45.14,26.18,6.99,3.25
45.23,26.33,7.15,3.33
45.25,26.38,7.31,3.51
45.31,26.43,7.39,3.54
45.46,26.48,7.45,3.56
45.66,26.53,7.47,3.56
45.79,26.48,7.47,3.56
45.94,26.38,7.45,3.56
